"Annee";"SectionCNU.ID";"QualificationDossiers.MCF";"QualificationQualifies.MCF";"PostesPublies.MCF";"Candidatures.MCF";"Candidats.MCF";"PostesPourvus.MCF";"Candidatures.MCF.F";"Candidatures.MCF.H";"Candidats.MCF.F";"Candidats.MCF.H";"Recrutes.MCF.F";"Recrutes.MCF.H"
2007;22;419;265;43;NA;NA;42;NA;NA;NA;NA;NA;NA
2007;23;204;124;40;NA;NA;40;NA;NA;NA;NA;NA;NA
2007;24;129;70;11;NA;NA;11;NA;NA;NA;NA;NA;NA
2007;25;267;207;56;NA;NA;54;NA;NA;NA;NA;NA;NA
2007;26;384;252;81;NA;NA;75;NA;NA;NA;NA;NA;NA
2007;27;696;469;136;NA;NA;131;NA;NA;NA;NA;NA;NA
2007;28;460;315;55;NA;NA;54;NA;NA;NA;NA;NA;NA
2007;29;141;110;15;NA;NA;15;NA;NA;NA;NA;NA;NA
2007;30;194;168;26;NA;NA;25;NA;NA;NA;NA;NA;NA
2007;31;426;348;56;NA;NA;55;NA;NA;NA;NA;NA;NA
2007;32;420;277;49;NA;NA;49;NA;NA;NA;NA;NA;NA
2007;33;405;295;31;NA;NA;31;NA;NA;NA;NA;NA;NA
2007;34;106;87;10;NA;NA;10;NA;NA;NA;NA;NA;NA
2007;35;185;117;29;NA;NA;29;NA;NA;NA;NA;NA;NA
2007;36;202;136;12;NA;NA;12;NA;NA;NA;NA;NA;NA
2007;37;119;88;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2007;60;510;350;110;NA;NA;103;NA;NA;NA;NA;NA;NA
2007;61;472;281;82;NA;NA;78;NA;NA;NA;NA;NA;NA
2007;62;307;190;47;NA;NA;46;NA;NA;NA;NA;NA;NA
2007;63;380;225;66;NA;NA;61;NA;NA;NA;NA;NA;NA
2007;64;809;411;46;NA;NA;45;NA;NA;NA;NA;NA;NA
2007;65;683;443;41;NA;NA;40;NA;NA;NA;NA;NA;NA
2007;66;428;198;24;NA;NA;24;NA;NA;NA;NA;NA;NA
2007;67;357;191;37;NA;NA;36;NA;NA;NA;NA;NA;NA
2007;68;411;253;25;NA;NA;25;NA;NA;NA;NA;NA;NA
2007;69;229;165;17;NA;NA;17;NA;NA;NA;NA;NA;NA
2007;70;288;116;47;NA;NA;41;NA;NA;NA;NA;NA;NA
2007;71;237;74;59;NA;NA;55;NA;NA;NA;NA;NA;NA
2007;72;81;60;5;NA;NA;5;NA;NA;NA;NA;NA;NA
2007;73;24;12;5;NA;NA;3;NA;NA;NA;NA;NA;NA
2007;74;211;106;33;NA;NA;30;NA;NA;NA;NA;NA;NA
2007;76;0;0;2;NA;NA;2;NA;NA;NA;NA;NA;NA
2007;77;16;6;1;NA;NA;1;NA;NA;NA;NA;NA;NA
2007;85;165;107;23;NA;NA;23;NA;NA;NA;NA;NA;NA
